d1160,724.93,Lidocaine Hydrochloride (Xylocaine) and Dextrose Injection Solution-Premix Bags,1642,B. Braun Medical Inc.,0.4% Lidocaine Hydrochloride and 5% Dextrose in 250mL Excel Plastic container P5942 (NDC 00264-9594-20)
d1161,382.48,Lidocaine Hydrochloride (Xylocaine) and Dextrose Injection Solution-Premix Bags,4078,B. Braun Medical Inc.,0.4% Lidocaine Hydrochloride and 5% Dextrose in 500mL Excel Plastic container P5941 (NDC 00264-9594-10)
d1162,265.01,Lidocaine Hydrochloride (Xylocaine) Injection,4849,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),1% 2 mL Ampoule (NDC 55150-158-72)
d1163,59.25,Lidocaine Hydrochloride (Xylocaine) Injection,3529,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),1% 5 mL Ampoule (NDC 55150-159-74)
d1164,782.6,Lidocaine Hydrochloride (Xylocaine) Injection,3494,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),2% 2 mL Ampoule (NDC 55150-160-72)
d1165,176.11,Lidocaine Hydrochloride (Xylocaine) Injection,1370,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),1% 2 mL Single Dose Vial (NDC 55150-161-02)
d1166,356.12,Lidocaine Hydrochloride (Xylocaine) Injection,6689,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),1% 5 mL Single Dose Vial (NDC 55150-162-05)
d1167,996.39,Lidocaine Hydrochloride (Xylocaine) Injection,5752,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),1% 30 mL Single Dose Vial (NDC 55150-163-30)
d1168,873.76,Lidocaine Hydrochloride (Xylocaine) Injection,6577,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),2% 2 mL Single Dose Vial (NDC 55150-164-02)
d1169,116.64,Lidocaine Hydrochloride (Xylocaine) Injection,3159,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),2% 5 mL Single Dose Vial (NDC 55150-165-05)
d117,593.14,Azacitidine for Injection,3692,Celgene Corporation,"VIDAZA, , 100 mg single-dose vial in cartons of 1 vial, (NDC 59572-102-01)"
d1170,544.49,Lidocaine Hydrochloride (Xylocaine) Injection,8042,"Fresenius Kabi USA, LLC","Lidocaine 0.5% Xylocaine 0.5% injection 5 mg/mL, 50 mL vial (NDC 63323-0484-57)"
d1171,971.24,Lidocaine Hydrochloride (Xylocaine) Injection,4957,"Fresenius Kabi USA, LLC","Xylocaine 0.5% - MPF injection, APP 5 mg/mL, 50 mL vial (NDC 63323-0491-57)"
d1172,486.36,Lidocaine Hydrochloride (Xylocaine) Injection,5813,"Fresenius Kabi USA, LLC","Lidocaine 1% Lidocaine 1% injection 10 mg/mL, 2 mL vial (NDC 63323-0201-02)"
d1173,464.87,Lidocaine Hydrochloride (Xylocaine) Injection,5265,"Fresenius Kabi USA, LLC","Lidocaine 1% Lidocaine 1% injection 10 mg/mL, 10 mL vial (NDC 63323-0201-10)"
d1174,99.19,Lidocaine Hydrochloride (Xylocaine) Injection,4512,"Fresenius Kabi USA, LLC","Xylocaine 1% injection 10 mg/mL, 20 mL vial (NDC 63323-0485-27)"
d1175,518.64,Lidocaine Hydrochloride (Xylocaine) Injection,3982,"Fresenius Kabi USA, LLC","Xylocaine 1% injection 10 mg/mL, 50 mL vial (NDC 63323-0485-57)"
d1176,439.72,Lidocaine Hydrochloride (Xylocaine) Injection,7409,"Fresenius Kabi USA, LLC","Xylocaine 1% - MPF injection 10 mg/mL, 2 mL vial (NDC 63323-0492-27)"
d1177,599.61,Lidocaine Hydrochloride (Xylocaine) Injection,2430,"Fresenius Kabi USA, LLC","Xylocaine 1% - MPF injection 10 mg/mL, 2 mL glass ampule (NDC 63323-0492-80)"
d1178,938.03,Lidocaine Hydrochloride (Xylocaine) Injection,4784,"Fresenius Kabi USA, LLC","Xylocaine 1% - MPF injection 10 mg/mL, 5 mL glass ampule (NDC 63323-0492-89)"
d1179,459.01,Lidocaine Hydrochloride (Xylocaine) Injection,1732,"Fresenius Kabi USA, LLC","Xylocaine 1% - MPF injection 10 mg/mL, 5 mL vial (NDC 63323-0492-57)"
d118,695,Azacitidine for Injection,5307,"Fresenius Kabi USA, LLC","100 mg per vial, single dose vial, PF, (NDC 63323-771-39)"
d1180,386.85,Lidocaine Hydrochloride (Xylocaine) Injection,6784,"Fresenius Kabi USA, LLC","Xylocaine 1% - MPF injection 10 mg/mL, 30 mL vial (NDC 63323-0492-37)"
d1181,604.86,Lidocaine Hydrochloride (Xylocaine) Injection,1112,"Hospira, Inc.",50 mg/5 mL (1%; 10 mg/mL); Ansyr Plastic Syringe (NDC 0409-9137-05)
d1182,297.48,Lidocaine Hydrochloride (Xylocaine) Injection,9087,"Hospira, Inc.",20 mg/2 mL (1%; 10 mg/mL); Glass Ampul (NDC 0409-4713-32)
d1183,312.26,Lidocaine Hydrochloride (Xylocaine) Injection,2737,"Hospira, Inc.","200 mg/20 mL (1%; 10 mg/mL); Multiple Dose Plastic Fliptop Vial (NDC 0409-4276-01, pack of 25; NDC 0409-4276-16, individual)"
d1184,404.88,Lidocaine Hydrochloride (Xylocaine) Injection,7108,"Hospira, Inc.",300 mg/30 mL (1%; 10 mg/mL); Single Dose Glass Teartop Vial (NDC 0409-4279-02)
d1185,288.99,Lidocaine Hydrochloride (Xylocaine) Injection,2378,"Hospira, Inc.","500 mg/50 mL (1%; 10 mg/mL); Multiple Dose Plastic Fliptop Vial (NDC 0409-4276-02; NDC 0409-4276-17, individual)"
d1186,292.56,Lidocaine Hydrochloride (Xylocaine) Injection,3709,"Hospira, Inc.",40 mg/2 mL (2%; 20 mg/mL); Glass Ampul (NDC 0409-4282-01)
d1187,482.94,Lidocaine Hydrochloride (Xylocaine) Injection,9651,"Hospira, Inc.",200 mg/10 mL (2%; 20 mg/mL); Glass Ampul (NDC 0409-4282-02)
d1188,871,Lidocaine Hydrochloride (Xylocaine) Injection,238,"Hospira, Inc.",50 mg/5 mL (1%; 10 mg/mL); LifeShield Abboject Glass Syringe (NDC 0409-4904-34)
d1189,884.27,Lidocaine Hydrochloride (Xylocaine) Injection,1013,"Hospira, Inc.",100 mg/5 mL (2%; 20 mg/mL); LifeShield Abboject Glass Syringe (NDC 0409-4903-34)
d119,366.5,Azacitidine for Injection,8376,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","100 mg per vial, (NDC 0143-9606-01)"
d1190,716.59,Lidocaine Hydrochloride (Xylocaine) Injection,3450,"Hospira, Inc.",100 mg/5 mL (2%; 20 mg/mL); Single Dose Glass Fliptop Vial (NDC 0409-2066-05)
d1191,603.15,Lidocaine Hydrochloride (Xylocaine) Injection,6479,"Hospira, Inc.","400 mg/20 mL (2%; 20 mg/mL); Multiple Dose Plastic Fliptop Vial (NDC 0409-4277-01, pack of 25; NDC 0409-4277-16, individual)"
d1192,65.9,Lidocaine Hydrochloride (Xylocaine) Injection,2562,"Hospira, Inc.","1,000 mg/50 mL (2%; 20 mg/mL); Multiple Dose Plastic Fliptop Vial (NDC 0409-4277-02)"
d1193,939.34,Lidocaine Hydrochloride (Xylocaine) Injection,9866,"Hospira, Inc.",200 mg/5 mL (4%; 40 mg/mL); Glass Ampul (NDC 0409-4283-01)
d1194,621.84,Lidocaine Hydrochloride (Xylocaine) Injection,8100,"Hospira, Inc.",Xylocaine Cardiac 100 mg/5 mL (2%; 20 mg/mL); Ansyr Plastic Syringe (NDC 0409-1323-05)
d1195,655.34,Lidocaine Hydrochloride (Xylocaine) Injection,2164,"Amphastar Pharmaceuticals, Inc./IMS","2%, 5mL Luer-Jet Prefilled Syringe (NDC 76329-3390-1)"
d1197,144.73,Lidocaine Hydrochloride (Xylocaine) Injection,2116,American Regent/Luitpold,"1%, 50 mL vial package of 25 (NDC 00517-0625-25)"
d1198,505.6,Lidocaine Hydrochloride (Xylocaine) Injection,8791,"Fresenius Kabi USA, LLC","Lidocaine 1.5% Xylocaine 1.5% - MPF injection 15 mg/mL, 10 mL ampule (NDC 63323-0493-97)"
d1199,758.21,Lidocaine Hydrochloride (Xylocaine) Injection,8669,"Fresenius Kabi USA, LLC","Lidocaine 1.5% Xylocaine 1.5% - MPF injection 15 mg/mL, 20 mL ampule (NDC 63323-0493-91)"
d12,484.98,Acyclovir Ointment 5%,1079,"Tolmar Pharmaceuticals, Inc.",30 mg (NDC 63646-300-30)
d120,71.35,Azacitidine for Injection,6836,"Dr. Reddy's Laboratories, Inc.","100 mg per vial, (NDC 43598-305-62)"
d1200,721.78,Lidocaine Hydrochloride (Xylocaine) Injection,1196,"Fresenius Kabi USA, LLC","Lidocaine 2% Lidocaine 2% injection 20 mg/mL, 2 mL vial (NDC 63323-0202-02)"
d1201,106.26,Lidocaine Hydrochloride (Xylocaine) Injection,3214,"Fresenius Kabi USA, LLC","Lidocaine 2% injection 20 mg/mL, 5 mL SD Tear Top vial, preservative-free (NDC 63323-0208-05)"
d1202,172.95,Lidocaine Hydrochloride (Xylocaine) Injection,4364,"Fresenius Kabi USA, LLC","Xylocaine 2% injection 20 mg/mL, 10 mL vial (NDC 63323-0486-17)"
d1203,743.39,Lidocaine Hydrochloride (Xylocaine) Injection,8345,"Fresenius Kabi USA, LLC","Xylocaine 2% injection 20 mg/mL, 20 mL vial (NDC 63323-0486-27)"
d1204,388.48,Lidocaine Hydrochloride (Xylocaine) Injection,4115,"Fresenius Kabi USA, LLC","Xylocaine 2% injection 20 mg/mL, 50 mL vial (NDC 63323-0486-57)"
d1205,322.15,Lidocaine Hydrochloride (Xylocaine) Injection,2446,"Fresenius Kabi USA, LLC","Xylocaine 2% injection 20 mg/mL, 10 mL vial (NDC 63323-0486-10)"
d1207,900.42,Lidocaine Hydrochloride (Xylocaine) Injection,7458,"Fresenius Kabi USA, LLC","Xylocaine 2% injection NDC discontinued 20 mg/mL, 20 mL vial (NDC 63323-0486-20)-NDC discontinued"
d1208,31.1,Lidocaine Hydrochloride (Xylocaine) Injection,1134,"Fresenius Kabi USA, LLC","Xylocaine 2% injection 20 mg/mL, 50 mL vial (NDC 63323-0486-50)-NDC discontinued"
d1209,855.97,Lidocaine Hydrochloride (Xylocaine) Injection,9921,"Fresenius Kabi USA, LLC","Xylocaine 2% - MPF injection 20 mg/mL, 2 mL vial (NDC 63323-0495-27)"
d121,742.32,Azacitidine for Injection,5803,Armas Pharmaceuticals Inc,100 mg per vial (NDC 72485-201-01)
d1210,264.22,Lidocaine Hydrochloride (Xylocaine) Injection,4386,"Fresenius Kabi USA, LLC","Xylocaine 2% - MPF injection 20 mg/mL, 5 mL vial (NDC 63323-0495-07)"
d1211,522.35,Lidocaine Hydrochloride (Xylocaine) Injection,7935,"Fresenius Kabi USA, LLC","Xylocaine 2% - MPF injection 20 mg/mL, 10 mL ampule (NDC 63323-0496-97)"
d1212,228.59,Lidocaine Hydrochloride (Xylocaine) Injection,5906,"Hospira, Inc.",250 mg/50 mL (0.5%; 5 mg/mL); Multiple Dose Plastic Fliptop Vial (NDC 0409-4275-01)
d1213,470.87,Lidocaine Hydrochloride (Xylocaine) Injection,3166,"Hospira, Inc.",100 mg/2 mL (5%; 50 mg/mL) and 7.5% Dextrose; Glass Ampul (NDC 0409-4712-01)
d1214,72.04,Lidocaine Hydrochloride (Xylocaine) Injection,7717,"Hospira, Inc.",250 mg/50 mL (0.5%; 5 mg/mL); Single Dose Glass Teartop Vial (NDC 0409-4278-01)
d1215,125,Lidocaine Hydrochloride (Xylocaine) Injection,9033,"Hospira, Inc.",50 mg/5 mL (1%; 10 mg/mL); Glass Ampul (NDC 0409-4713-02)
d1216,515.26,Lidocaine Hydrochloride (Xylocaine) Injection,9128,"Fresenius Kabi USA, LLC","Xylocaine 1% - MPF injection 10 mg/mL, 30 mL vial, sterile pack (NDC 63323-0492-31)"
d1217,218.77,Lidocaine Hydrochloride (Xylocaine) Injection,5000,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),1% 10 mL Multi Dose Vial (NDC 55150-251-10)
d1218,420.02,Lidocaine Hydrochloride (Xylocaine) Injection,8089,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),1% 20 mL Multi Dose Vial (NDC 55150-252-20)
d1219,475.55,Lidocaine Hydrochloride (Xylocaine) Injection,4641,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),2% 10 mL Multi Dose Vial (NDC 55150-254-10)
d122,671.99,Azacitidine for Injection,3898,Accord Healthcare Inc.,100 mg per vial (NDC 16729-306-10)
d1220,416.26,Lidocaine Hydrochloride (Xylocaine) Injection,230,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),2% 20 mL Multi Dose Vial (NDC 55150-255-20)
d1221,750.34,Lidocaine Hydrochloride (Xylocaine) Injection,2212,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","1% 5 mL vial, Preservative Free (NDC 0143-9595-25)"
d1222,242.8,Lidocaine Hydrochloride (Xylocaine) Injection,854,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","2% 5 mL vial, Preservative Free (NDC 0143-9594-25)"
d1223,807.16,Lidocaine Hydrochloride (Xylocaine) Injection,3790,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","1% 50 mL vial, Preserved (NDC 0143-9577-10)"
d1224,739.18,Lidocaine Hydrochloride (Xylocaine) Injection,2231,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","2% 50 mL vial, Preserved (NDC 0143-9575-10)"
d1225,841.98,Lidocaine Hydrochloride (Xylocaine) Injection,1157,"Spectra Medical Devices, Inc.",1% 5 mL ampule (NDC 65282-1605-1)
d1226,283.91,Lidocaine Hydrochloride (Xylocaine) Injection,9981,"Hospira, Inc.",300 mg/20 mL (1.5%; 15 mg/mL); Glass Ampul (NDC 0409-4776-01)
d1227,843.71,Lidocaine Hydrochloride (Xylocaine) Injection,5410,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),2% MDV 1000mg/50mL (NDC 55150-256-50)
d1228,817.43,Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,6859,"Hospira, Inc.","0.5% w/EPI 1:100,000; 1.8 mL Carpule (NDC 00409-0996-01)"
d1229,890.13,Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,4059,"Hospira, Inc.","2.5 g/50 mL (0.5%; 1:200,000); Multiple Dose Glass Fliptop Vial (NDC 00409-3177-01)"
d123,960.35,Azacitidine for Injection,1505,"Mylan Institutional, a Viatris company",100 mg per vial (NDC 67457-254-30)
d1230,525.35,Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,8486,"Hospira, Inc.","200 mg/20 mL (1%; 1:100,000); Multiple Dose Glass Fliptop Vial (NDC 00409-3178-01)"
d1231,519.88,Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,9362,"Hospira, Inc.","300 mg/30 mL (1%; 1:100,000); Multiple Dose Glass Fliptop Vial (NDC 00409-3178-02)"
d1232,638.09,Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,6450,"Hospira, Inc.","500 mg/50 mL (1%; 1:100,000); Multiple Dose Glass Fliptop Vial (NDC 0409-3178-03)"
d1233,387.75,Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,9073,"Hospira, Inc.","75 mg/5 mL (1.5%; 1:200,000); Glass Ampul (NDC 0409-1209-01)"
d1234,817.65,Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,5107,"Hospira, Inc.","450 mg/30 mL (1.5%; 1:200,000); Single Dose Glass Fliptop Vial (NDC 0409-3181-01)"
d1235,522.11,Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,9648,"Hospira, Inc.","400 mg/20 mL (2%; 1:100,000); Multiple Dose Glass Fliptop Vial (NDC 0409-3182-01)"
d1236,53.22,Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,4770,"Hospira, Inc.","600 mg/30 mL (2%; 1:100,000); Multiple Dose Glass Fliptop Vial (NDC 0409-3182-02)"
d1237,625.54,Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,1055,"Hospira, Inc.","1 g/50 mL (2%; 1:100,000); Multiple Dose Glass Fliptop Vial (NDC 0409-3182-03)"
d1238,31.47,Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,2420,"Hospira, Inc.","400 mg/20 mL (2%; 1:200,000); Single Dose Glass Fliptop Vial (NDC 0409-3183-01)"
d1239,33.26,Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,7260,"Hospira, Inc.","2% w/EPI 1:50,000; 1.8mL syringe (NDC 00409-7263-01)"
d124,979.27,Azithromycin (Azasite) Ophthalmic Solution 1%,7118,Akorn Pharmaceuticals,Azasite (Azithromycin Ophthalmic Solution) 1% 2.5 mL in 5 mL bottle (NDC 17478-307-03)
d1240,510.7,Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,326,"Fresenius Kabi USA, LLC","Xylocaine w/EPI 10 mL, 100 mg MDV (NDC 63323-0482-17)"
d1241,134.41,Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,1436,"Fresenius Kabi USA, LLC","Xylocaine w/EPI 10 mL, 100mg SDV, MPF (NDC 63323-0487-17)"
d1242,290.61,Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,9281,"Fresenius Kabi USA, LLC","Xylocaine w/EPI 10 mL, 150 mg, SDV, MPF (NDC 63323-0488-17)"
d1243,300.96,Lidocaine Hydrochloride (Xylocaine) Injection with Epinephrine,3430,"Fresenius Kabi USA, LLC","Xylocaine w/EPI 10 mL, 200 mg, SDV, MPF (NDC 63323-0489-17)"
d1244,5.3,Liothyronine Sodium Tablets,7453,Mylan Pharmaceuticals Inc.,Liothyronine Sodium 5mcg tablets (NDC 0378-3611-01)
d1245,605.38,Liothyronine Sodium Tablets,591,Mylan Pharmaceuticals Inc.,Liothyronine Sodium 25mcg tablets (NDC 0378-3612-01)
d1246,119.01,Lipid Injection,5852,B. Braun Medical Inc.,"Nutrilipid (20% IV Fat Emulsion) in 1,000mL Bag Catalog S4600 (NDC 00264-4460-00)"
d1247,921.92,Lipid Injection,5786,B. Braun Medical Inc.,Nutrilipid (20% IV Fat Emulsion) in 500mL Bag Catalog S4601 (NDC 0264-4460-10)
d1248,172.46,Lipid Injection,4803,B. Braun Medical Inc.,Nutrilipid (20% IV Fat Emulsion) in 250mL Bag Catalog S4603 (NDC 00264-4460-30)
d1249,313.61,Lipid Injection,4475,"Fresenius Kabi USA, LLC","Smoflipid injectable emulsion, USP, 20% (0.2 grams per mL) (20 grams per 100 mL) (NDC 63323--820-00)"
d125,644.45,Azithromycin for Injection,1512,"Mylan Institutional, a Viatris company",500 mg (NDC 67457-860-50)
d1250,544.06,Lipid Injection,9430,"Fresenius Kabi USA, LLC","Smoflipid injectable emulsion, USP, 20% (0.2 grams per mL) (50 grams per 250 mL) (NDC 63323--820-74)"
d1251,958.74,Lipid Injection,3241,"Fresenius Kabi USA, LLC","Smoflipid injectable emulsion, USP, 20% (0.2 grams per mL) (100 grams per 500 mL) (NDC 63323-820-50)"
d1252,740.91,Lipid Injection,272,"Fresenius Kabi USA, LLC","Smoflipid injectable emulsion, USP, 20%, PBP (0.2 grams per mL) (200 grams per 1000 mL) (NDC 63323-820-10)"
d1253,275.52,Lipid Injection,4038,Baxter Healthcare,"Clinolipid 20% (Lipid Injectable Emulsion, USP) 100 mL, Product Code EADB9520, (NDC 0338-954-005)"
d1254,496.37,Lipid Injection,5689,Baxter Healthcare,"Clinolipid 20% (Lipid Injectable Emulsion, USP) 1000 mL, Product Code EADB9524, (NDC 0338-954-008)"
d1255,272.99,Lipid Injection,6448,Baxter Healthcare,"Clinolipid 20% (Lipid Injectable Emulsion, USP) 250 mL, Product Code EADB9521, (NDC 0338-954-006)"
d1256,766.25,Lipid Injection,7927,Baxter Healthcare,"Clinolipid 20% (Lipid Injectable Emulsion, USP) 500 mL, Product Code EADB9523, (NDC 0338-954-007)"
d1257,665.04,Lipid Injection,5150,Baxter Healthcare,"Intralipid 20% IV Fat Emulsion, 100 mL, Product Code 2B6061, (NDC 0338-051-958)"
d1258,53.77,Lipid Injection,7417,Baxter Healthcare,"Intralipid 20% IV Fat Emulsion, 250 mL, Product Code 2B6062, (NDC 0338-051-909)"
d1259,703.66,Lipid Injection,5713,Baxter Healthcare,"Intralipid 20% IV Fat Emulsion, 1000 mL, Pharmacy Bulk Package, Product Code 2B6064, (NDC 0338-051-914)"
d126,738.57,Bacitracin Ophthalmic Ointment,9188,Padagis US LLC,3.5 g (NDC 0574-4022-35)
d1260,343.08,Lipid Injection,2241,Baxter Healthcare,"Intralipid 20% IV Fat Emulsion, 500 mL, Product Code 2B6063, (NDC 0338-051-913)"
d1261,230.54,Lipid Injection,1815,Baxter Healthcare,"Intralipid 30% IV Fat Emulsion, 500 mL, Pharmacy Bulk Package, Product Code 2B6065, (NDC 0338-052-013)"
d1262,357.14,Lisinopril Tablets,400,Mylan Pharmaceuticals Inc.,2.5 mg (NDC 0378-2072-01); 5 mg (NDC 0378-2073-01); 5 mg (NDC 0378-2073-10); 10 mg (NDC 0378-2074-01); 10 mg (NDC 0378-2074-10); 20 mg (NDC 0378-2075-01); 20 mg (NDC 0378-2075-10); 30 mg (NDC 0378-2077-01); 40 mg (NDC 0378-2076-01; 40 mg (NDC 0378-2076-05)
d1263,976.08,Lithium Oral Solution,7548,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",8 mEq/5 mL 500 mL bottle (NDC 0054-3527-63)
d1264,739.13,Lorazepam Injection,6528,"Hospira, Inc.",4 mg/mL; Carpuject Luer Lock Glass Syringe (NDC 00409-1539-31)
d1265,713.97,Lorazepam Injection,5631,"Hospira, Inc.",2 mg/mL; Carpuject Luer Lock Glass Syringe  (NDC 00409-1985-30)
d1266,264.52,Lorazepam Injection,3875,"Hospira, Inc.",2 mg/mL; 1 mL Multiple Dose Glass Fliptop Vial (NDC 00409-6778-02)
d1267,455.09,Lorazepam Injection,6697,"Hospira, Inc.",4 mg/mL; 1 mL Multiple Dose Glass Fliptop Vial (NDC 00409-6779-02)
d1268,145.73,Lorazepam Injection,9649,"Hospira, Inc.",20 mg/10 mL (2 mg/mL); Multiple Dose Glass Fliptop Vial (NDC 00409-6780-02)
d1269,542.12,Lorazepam Injection,9335,"Amphastar Pharmaceuticals, Inc./IMS","LORAZEPAM INJECTION, USP, C IV [2 mg/ mL](NDC 76329-8261-1)"
d127,614.1,Bacteriostatic 0.9% Sodium Chloride Injection,4404,"Fresenius Kabi USA, LLC","0.9% (90 mg per 10 mL), (9mg/mL), Multiple Dose Plastic Vial, 30 mL (NDC 63323-924-30)"
d1270,49.37,Lorazepam Injection,273,Akorn Pharmaceuticals,Lorazepam Injection 2 mg/mL (NDC 17478-040-01)
d1271,132.93,Lorazepam Injection,380,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","Ativan (lorazepam) Injection 2 mg/mL, 1 mL vial (NDC 0641-6001-25)"
d1272,470.5,Lorazepam Injection,1530,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","Ativan (lorazepam) Injection 2 mg/mL, 10 mL vial (NDC 0641-6000-10)"
d1273,271.28,Lorazepam Injection,2343,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","Ativan (lorazepam) Injection 4 mg/mL, 1 mL vial (NDC 0641-6003-25)"
d1274,721.03,Lorazepam Injection,6215,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","Ativan (lorazepam) Injection 4 mg/mL, 10 mL vial ((NDC 0641-6002-10)"
d1275,481.22,Lorazepam Injection,5525,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","Lorazepam Injection, USP 2 mg/mL, 1 mL vial (NDC 0641-6044-25)"
d1276,887.9,Lorazepam Injection,4699,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","Lorazepam Injection, USP 2 mg/mL, 10 mL vial (NDC 0641-6046-10)"
d1277,558.53,Lorazepam Injection,270,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","Lorazepam Injection, USP 4 mg/mL, 1 mL vial (NDC 0641-6045-25)"
d1278,781.92,Lorazepam Injection,4818,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","Lorazepam Injection, USP 4 mg/mL, 10 mL vial (NDC 0641-6002-10)"
d1279,41.98,Loxapine Capsules,2592,"Lannett Company, Inc.","5 mg, 1000 count bottle (NDC 0527-1394-10)"
d128,346.17,Bacteriostatic 0.9% Sodium Chloride Injection,6037,"Fresenius Kabi USA, LLC","0.9% (90 mg per 10 mL), (9mg/mL), Multiple Dose Plastic Vial, 10 mL, (NDC 63323-924-10)"
d1280,67.34,Loxapine Capsules,1352,"Lannett Company, Inc.","10 mg, 1000 count bottle (NDC 0527-1395-10)"
d1281,655.42,Loxapine Capsules,3397,"Lannett Company, Inc.","25 mg, 1000 count bottle (NDC 0527-1396-10)"
d1282,477.66,Loxapine Capsules,6356,"Lannett Company, Inc.","50 mg, 1000 count bottle (NDC 0527-1397-10)"
d1283,880.52,Loxapine Capsules,9308,"Lannett Company, Inc.","5 mg, 100 count bottle (NDC 0527-1394-01)"
d1284,276.77,Loxapine Capsules,4399,"Lannett Company, Inc.","5 mg, 1000 count bottle (NDC 0527-1394-10)"
